strain,stress
5.300001477992465071e-02,-5.311475400000000534e-04
5.325000210574190596e-02,7.931569600000000064e-04
5.349998943155937631e-02,-4.653065700000000196e-04
5.374997675737685360e-02,-5.598493600000000380e-04
5.400004354515401672e-02,2.175645799999999924e-04
5.425003087097149401e-02,-5.921136899999999677e-04
5.450001819678874232e-02,-6.237860700000000529e-05
5.475000552260621961e-02,-2.909800499999999992e-04
5.499999284842369690e-02,-3.856470600000000068e-04
5.524998017424094521e-02,-2.797765499999999971e-04
5.550004696201833732e-02,-3.222331399999999856e-04
5.575003428783581461e-02,-3.581943799999999923e-04
5.600002161365306291e-02,-4.586036000000000149e-04
5.625000893947053326e-02,-6.855653600000000385e-04
5.649999626528801056e-02,-1.873756899999999949e-04
5.674998359110525886e-02,-5.871979200000000329e-04
5.699997091692273615e-02,-2.197059400000000095e-04
5.725003770469989928e-02,8.439493299999999620e-04
5.750002503051737657e-02,-4.107920100000000073e-04
5.775001235633485386e-02,-8.981227399999999750e-04
5.799999968215210217e-02,-8.047179800000000280e-04
5.824998700796957946e-02,-2.627195499999999875e-04
5.849997433378705675e-02,4.919380199999999525e-04
5.875004112156421987e-02,-7.398711999999999780e-04
5.900002844738169716e-02,2.327295300000000106e-04
5.925001577319916751e-02,-2.860728299999999984e-05
5.950000309901642276e-02,6.502918499999999630e-05
5.974999042483389311e-02,-1.554306999999999889e-04
5.999997775065137040e-02,-4.837444999999999896e-04
6.025004453842853352e-02,-4.179928400000000100e-04
6.050003186424601082e-02,5.240787899999999663e-04
6.075001919006325912e-02,1.958757800000000045e-04
6.100000651588073641e-02,-5.685065100000000031e-04
6.124999384169821370e-02,5.691260100000000537e-04
6.149998116751546201e-02,1.748551800000000046e-04
6.175004795529285412e-02,-7.781262600000000149e-04
6.200003528111033141e-02,1.099346900000000023e-04
6.225002260692757972e-02,-4.673825700000000180e-04
6.250000993274505701e-02,-1.430597999999999885e-04
6.274999725856229837e-02,-3.484198699999999788e-04
6.299998458437977567e-02,-2.150457199999999947e-04
6.324997191019725296e-02,1.197169700000000038e-04
6.350003869797442302e-02,3.636693800000000035e-04
6.375002602379190031e-02,-3.839663599999999875e-04
6.400001334960936372e-02,9.542754199999999552e-05
6.425000067542661897e-02,-5.263147700000000160e-04
6.449998800124409626e-02,-7.944651700000000295e-04
6.474997532706157355e-02,-1.529853299999999958e-05
6.500004211483872973e-02,1.381815099999999922e-04
6.525002944065620702e-02,-7.218740400000000102e-04
6.550001676647346227e-02,1.524073500000000037e-04
6.575000409229093956e-02,3.018139500000000040e-04
6.599999141810841685e-02,-3.870731499999999822e-04
6.624997874392565822e-02,-8.059198100000000090e-04
6.650004553170305033e-02,7.953456300000000126e-04
6.675003285752052762e-02,-4.464728900000000254e-04
6.700002018333778286e-02,2.295982400000000096e-04
6.725000750915524628e-02,5.817715399999999671e-05
6.749999483497272357e-02,-4.119557299999999922e-04
6.774998216078997881e-02,-6.324794199999999754e-04
6.799996948660745610e-02,8.221248299999999679e-04
6.825003627438461229e-02,-1.092767199999999982e-03
6.850002360020208958e-02,-7.962400999999999594e-04
6.875001092601956687e-02,1.927961500000000125e-04
6.899999825183682212e-02,1.329706000000000106e-04
6.924998557765429941e-02,-6.053376100000000103e-04
6.949997290347177670e-02,-1.393747900000000121e-04
6.975003969124893288e-02,4.456348099999999984e-04
