Engineering Strain-X,Engineering Stress(MPa)-Y
0.101,0.01555163473641
0.102,0.0155335051964447
0.103,0.0155827048923958
0.104,0.0158856389135976
0.105,0.016173521516294
0.106,0.0163948256911546
0.107,0.0163685862468341
0.108,0.0163207827130817
0.109,0.0165998909831955
0.11,0.0167810862891446
0.111,0.0172287455552093
0.112,0.0171974708295866
0.113,0.0172230381660888
0.114,0.017473728800105
0.115,0.0175682865842685
0.116,0.0179283641466501
0.117,0.0178432621149725
0.118,0.0180248977178699
0.119,0.0182706643356126
0.12,0.0183292347891228
0.121,0.0185490788486885
0.122,0.0186607758303964
0.123,0.018738322045544
0.124,0.0190258072118628
0.125,0.0189931792733151
0.126,0.0190904116017207
0.127,0.0192670208134406
0.128,0.0192964438758771
0.129,0.0195741869967927
0.13,0.0197045965203111
0.131,0.0196606218331962
0.132,0.0201063246268217
0.133,0.0202057560455993
0.134,0.0205811560355787
0.135,0.0205972945325935
0.136,0.0205816336076524
0.137,0.0210297086523613
0.138,0.0209637045193354
0.139,0.0211218062854416
0.14,0.0212784411843777
0.141,0.0212408464019155
0.142,0.0214686244006985
0.143,0.0216692759899938
0.144,0.0217603168047106
0.145,0.0219815916573199
0.146,0.0220458658409076
0.147,0.0222239485137973
0.148,0.0224199427985358
0.149,0.0223819313030329
0.15,0.0226134108146294
0.151,0.0228065631711278
0.152,0.0228874374633866
0.153,0.0230662080956706
0.154,0.023102745853266
0.155,0.0233932711252975
0.156,0.023480858588598
0.157,0.0234335910877597
0.158,0.02371510738893
0.159,0.0239919779808834
0.16,0.0239485024101875
0.161,0.0244298478492376
0.162,0.0243878895243715
0.163,0.0244878444162457
0.164,0.0247795336417163
0.165,0.024807793439798
0.166,0.0249813242862928
0.167,0.0251019395417927
0.168,0.0251721606152537
0.169,0.025486611284163
0.17,0.0254608479618275
0.171,0.0256692993201536
0.172,0.0258433207942707
0.173,0.0259264484030621
0.174,0.0262339545479487
0.175,0.0262115815571333
0.176,0.0262282795078986
0.177,0.0265395180943123
0.178,0.0265986780204656
0.179,0.0268402017886284
0.18,0.0269676142271944
0.181,0.0269374368731204
0.182,0.0273101647213782
0.183,0.0272635899985331
0.184,0.0274286312477799
0.185,0.0277171099229231
0.186,0.0277592902258178
0.187,0.02813381418753
0.188,0.0281923784607719
0.189,0.0283874470945999
0.19,0.0285997903954925
0.191,0.028517892306713
0.192,0.0287652150724119
0.193,0.028838588846616
0.194,0.029005447053938
0.195,0.0292164269967511
0.196,0.0293448437655903
0.197,0.0295936826592315
0.198,0.029644462202154
0.199,0.0295324808715579
0.2,0.0300545103978178
0.201,0.0299580569631333
0.202,0.0304141465482264
0.203,0.0304088316006292
0.204,0.0305987312741424
0.205,0.0307450686277218
0.206,0.0308343424649131
0.207,0.0311309849148011
0.208,0.0311013801086108
0.209,0.031235810276469
0.21,0.0314550894718
0.211,0.0314898436672698
0.212,0.0318379025694476
0.213,0.0319595367857612
0.214,0.0323308469766019
0.215,0.0323484397874102
0.216,0.0323952446153804
0.217,0.0326382517276764
0.218,0.0328737935864261
0.219,0.0331063574460766
0.22,0.0330748036528177
0.221,0.0332502288752938
0.222,0.0334018256870557
0.223,0.033768725053467
0.224,0.0337823722820625
0.225,0.0337737537517712
0.226,0.0339776183360702
